Symbol,ISIN,Name,Company Description
OQ@N.JP,JP3180400008,Osaka Gas,"OSAKA GAS CO., LTD. IS PRIMARILY ENGAGED IN GAS BUSINESS. IT OPERATES IN FOUR BUSINESS SEGMENTS. THE GAS SEGMENT IS INVOLVED IN THE PRODUCTION, SUPPLY AND SALE OF GAS, THE SALE OF GAS EQUIPMENT AND HOUSING EQUIPMENT, THE CONSTRUCTION OF GAS PIPING WORKS, THE MAINTENANCE AND INSPECTION OF GAS EQUIPMENT. THE LIQUEFIED PETROLEUM GAS (LPG), ELECTRIC AND OTHER ENERGY SEGMENT IS ENGAGED IN THE SALE OF LPG AND THE SUPPLY OF ELECTRICITY. THE OVERSEA ENERGY SEGMENT IS ENGAGED IN THE LEASING OF LIQUEFIED NATURAL GAS (LNG) TANKERS, THE OIL AND GAS-RELATED DEVELOPMENT AND INVESTMENT, THE RESEARCH AND INVESTMENT OF ENERGY SUPPLY BUSINESS. THE ENVIRONMENT AND NON-ENERGY SEGMENT IS INVOLVED IN THE DEVELOPMENT, LEASING, MANAGEMENT AND SUBDIVISION OF REAL ESTATES, THE LEASING AND MAINTENANCE OF AUTOMOBILES, THE MANUFACTURE AND SALE OF FINE MATERIALS AND CARBON MATERIALS, THE STAFF DISPATCHING BUSINESS, THE CREDIT "
XLV,US81369Y2090,Spdr Health Care,"EXCHANGE-TRADED FUND SEEKING PERFORMANCE CORRESPONDING TO THE HEALTH CARE SELECT SECTOR INDEX. SSGA FUNDS ACTS AS THE INVESTMENT ADVISOR. AS OF 11/11, INVESTMENTS BY SECTOR IN %: PHARMACEUTICALS 51; HEALTH CARE PROVIDERS AND SERVICES 19; HEALTH CARE EQUIPMENT AND SUPPLIES 15; BIOTECHNOLOGY 10; AND OTHER 5. TOP INVESTMENTS BY HOLDINGS IN %: JOHNSON & JOHNSON 14; PFIZER 12; AND MERCK 8. 2010-11 PORTFOLIO TURNOVER RATE WAS 7% VS 4% IN 2009-10."
VRSN,US92343E1029,Verisign Inc,"PROVIDES DIGITAL SECURITY PRODUCTS AND SERVICES TO WEBSITE H OSTS, ENTERPRISES AND E-COMMERCE SERVICE PROVIDERS. SERVICES INCLUDE PAYMENT AND NETWORK SECURITY AND DIGITAL CERTIFICAT ES. ALSO OFFERS NETWORK CONNECTIVITY AND INTEROPERABILITY SERVICES. 2012 REVENUES BY AREA IN %: UNITED STATES 61; EUROP E, MIDDLE EAST AND AFRICA 15; ASIA PACIFIC AND CHINA 15; AND OTHER 9. TOP CUSTOMER ACCOUNTED FOR 30% OF REVENUES FROM CO NTINUING OPERATIONS."
IHG.GB,GB00B85KYF37,Ictl.Htls.Gp.,"INTERCONTINENTAL HOTELS GROUP PLC (IHG) IS A GLOBAL HOTEL COMPANY, OPERATING NINE BRANDS INTERNATIONALLY. IHG IS THE HOLDING COMPANY. THE COMPANY FRANCHISES, MANAGES, OWNS AND LEASES OVER 4,600 HOTELS WITH APPROXIMATELY 676,000 GUEST ROOMS IN OVER 100 COUNTRIES AND TERRITORIES WORLDWIDE. IHG'S HOTELS BRANDS INCLUDE INTERCONTINENTAL HOTELS & RESORTS, CROWNE PLAZA HOTELS & RESORTS, HOTEL INDIGO, HOLIDAY INN AND HOLIDAY INN CLUB VACATIONS, HOLIDAY INN EXPRESS, HOLIDAY INN RESORT, STAYBRIDGE SUITES, CANDLEWOOD SUITES AND EVEN HOTELS. IT HAS FOUR GEOGRAPHICAL SEGMENTS: AMERICAS, EUROPE, ASIA, MIDDLE EAST AND AFRICA (AMEA), AND GREATER CHINA. THE COMPANY RUNS THE HOTELS IN THREE WAYS: FRANCHISED, MANAGED AND OWNED. MOST OF THE COMPANY'S HOTELS OPERATE UNDER A FRANCHISE AGREEMENT OR ARE MANAGED BY IHG ON BEHALF OF OWNERS. IN DECEMBER 2013, THE COMPANY ANNOUNCED THAT IT HAS ACQUIRED A NEW ASSET IN BROOKLY"
CPN,US1313473043,Calpine Corp,"DEVELOPS AND OPERATES NATURAL GAS-FIRED COMBUSTION TURBINE A ND GEOTHERMAL POWER PLANTS IN THE U.S. AND CANADA. ALSO ENGA GED IN POWER WHOLESALE, STEAM, RENEWABLE ENERGY CREDITS, AND ANCILLARY SERVICES. AS OF 12/12, OPERATED 92 POWER PLANTS - (74 COMBUSTION TURBINE, 15 GEOTHERMAL, 2 FOSSIL STEAM AND 1 PHOTOVOLTAIC) WITH 27,321 MW OF GENERATING CAPACITY. 2012 RE VENUES BY AREA IN %: TEXAS 34; WEST 31; NORTH 23; AND SOUTHE AST 12."
RH@N.JP,JP3973400009,Ricoh,"RICOH COMPANY, LTD. IS A JAPAN-BASED COMPANY MAINLY ENGAGED IN THE PROVISION OF OFFICE AND INDUSTRIAL EQUIPMENT. THE COMPANY OPERATES IN THREE BUSINESS SEGMENTS. THE IMAGE & SOLUTION SEGMENT IS ENGAGED IN THE MANUFACTURE AND SALE OF OFFICE EQUIPMENT, INCLUDING DIGITAL AND ANALOG COPIERS, MULTI-FUNCTIONAL PRINTERS (MFPS), LASER PRINTERS, FACSIMILE MACHINES, DIGITAL PRINTING PRESSES AND SOLUTION PRODUCTS, SUCH AS COMPUTERS AND SERVERS, AS WELL AS THE PROVISION OF VARIOUS SUPPORT SERVICES. THE INDUSTRIAL SEGMENT IS ENGAGED IN THE MANUFACTURE AND SALE OF THERMAL MEDIA PRODUCTS, OPTICAL EQUIPMENT, SEMICONDUCTORS AND ELECTRICAL UNITS. THE OTHERS SEGMENT IS ENGAGED IN THE PROVISION OF DIGITAL CAMERAS, AS WELL AS THE OPERATION OF FINANCIAL AND LOGISTICS BUSINESSES."
ILC.IN,INE669E01016,Idea Cellular,"IDEA CELLULAR LIMITED (IDEA CELLULAR) IS A MOBILE SERVICES OPERATOR IN INDIA. IDEA IS A PAN-INDIA INTEGRATED GLOBAL SYSTEM FOR MOBILE COMMUNICATION (GSM) OPERATOR AND HAS ITS OWN NATIONAL LONG DISTANCE (NLD) AND INTERNATIONAL LONG DISTANCE (ILD) OPERATIONS. DURING THE FISCAL YEAR ENDED MARCH 31, 2012 (FISCAL 2012), THE COMPANY OPERATES ACROSS ALL 22 SERVICE AREAS WITH SECOND GENERATION (2G) SERVICES, AND THIRD GENERATION (3G) SERVICES ARE BEING PROGRESSIVELY ROLLED OUT TO COVER OVER 3,000 TOWNS. IT IS AN ADITYA BIRLA GROUP COMPANY. THE COMPANY OPERATES IN TWO BUSINESS SEGMENTS: MOBILITY SERVICES AND LONG DISTANCE. MOBILITY SERVICES PROVIDE GSM BASED MOBILE AND RELATED TELEPHONY SERVICES. LONG DISTANCE PROVIDES NATIONAL AND INTERNATIONAL LONG DISTANCE SERVICES. AS OF MARCH 31, 2012, IT HAS A NETWORK OF OVER 70,000 CELL SITES AND 3,000 SERVICE CENTRES SERVICING IDEA SUBSCRIBERS ACROSS THE COUNTRY. T"
EFX,US2944291051,Equifax Inc,"ORGANIZES AND MANAGES CREDIT, FINANCIAL, PUBLIC RECORD, MARK ETING AND DEMOGRAPHIC INFORMATION OF INDIVIDUALS/BUSINESSES THROUGHOUT NORTH AMERICA, EUROPE AND LATIN AMERICA. 2012 REV ENUES BY SEGMENT IN %: U.S. CONSUMER INFORMATION SOLUTIONS - 43; INTERNATIONAL 23; WORKFORCE SOLUTIONS 21; PERSONAL SOLUT IONS-NORTH AMERICA 9; AND COMMERCIAL SOLUTIONS-NORTH AMERICA 4. REVENUES BY COUNTRY IN %: U.S. 76; CANADA 7; U.K. 6; AND OTHER 11."
CSI.TW,TW0002105004,Cheng Shin Rub.Inds.,"CHENG SHIN RUBBER IND. CO., LTD. IS A TAIWAN-BASED COMPANY PRINCIPALLY ENGAGED IN THE MANUFACTURE AND DISTRIBUTION OF RUBBER TIRES. THE COMPANY PRIMARILY PROVIDES RADIAL TIRES FOR PASSENGER VEHICLES, AUTOMOBILE TIRES, MOTORCYCLE TIRES, TIRES FOR AGRICULTURAL AND INDUSTRIAL VEHICLES, AS WELL AS BICYCLE TIRES, AMONG OTHERS. THE COMPANY DISTRIBUTES ITS PRODUCTS PRIMARILY IN THE AMERICAS, EUROPE, MIDDLE EAST, AFRICA, ASIA, NEW ZEALAND AND AUSTRALIA."
FEYE,US31816Q1013,FireEye Inc,"DEVELOPS MACHINE-BASED SECURITY PLATFORMS PROVIDING REAL-TIM E PROTECTION TO ENTERPRISES AND GOVERNMENTS WORLDWIDE AGAINS T THE NEXT GENERATION OF CYBER ATTACKS ON THE WEB, EMAIL AND FILE SHARES UTILIZING ITS PROPRIETARY VIRTUAL EXECUTION (MVX) ENGINE. 2012 REVENUES BY SEGMENT IN %: PRODUCT 63; AND S UBSCRIPTION AND SERVICES 37. REVENUES BY GEOGRAPHIC AREA IN %: U.S. 80; ASIA PACIFIC AND JAPAN 8; EUROPE, MIDDLE EAST AN D AFRICA 8; AND OTHER 4."
MCV.PE,PEP646501002,Cverdec1,"SOCIEDAD MINERA CERRO VERDE SAA IS A PERU-BASED COMPANY ACTIVE IN THE MINING SECTOR. THE COMPANY IS ENGAGED IN THE EXTRACTION, EXPLOITATION AND COMMERCIALIZATION OF COPPER FROM THE DEPOSITS LOCATED IN THE SOUTHWEST OF THE AREQUIPA CITY. IT IS ALSO INVOLVED IN THE PRODUCTION, DISTRIBUTION AND SALE OF COPPER CATHODES. THE COMPANY'S MARKET SCOPE COMPRISES ASIA, EUROPE AND NORTH AND SOUTH AMERICA. IN ADDITION, THE COMPANY HOLDS A COPPER SALE AGREEMENT WITH SUMITOMO METAL MINING COMPANY LTD AND A MOLYBDENUM SALE CONTRACT WITH CLIMAX MOLYBDENUM MARKETING CORPORATION."
TYTS.JP,JP3635000007,Toyota Tsusho,"TOYOTA TSUSHO CORPORATION IS A TRADING COMPANY. THE METAL DIVISION MANUFACTURES AND DISTRIBUTES VARIOUS STEEL PRODUCTS, NON-FERROUS METAL PRODUCTS AND ALLOYS IRON. GLOBAL MANUFACTURING PARTS AND LOGISTICS DIVISION PROVIDES AUTOMOBILE COMPONENTS, LOGISTICS AND TIRE ASSEMBLY SERVICES. AUTOMOBILE DIVISION PROVIDES VARIOUS AUTOMOBILES, MOTORCYCLES, TRUCKS, BUSES AND AUTOMOBILE PARTS. MACHINERY, ENERGY AND PLANT PROJECT DIVISION PROVIDES MACHINE TOOLS, VARIOUS INDUSTRIAL MACHINERY, PETROLEUM PRODUCTS, COAL AND OTHERS. CHEMICAL AND ELECTRONICS DIVISION PROVIDES SEMICONDUCTORS, ELECTRONIC DEVICES, COMPUTERS, SOFTWARE, CHEMICALS, RESINS AND OTHERS. FOOD DIVISION MANUFACTURES FEED MATERIALS, GRAINS, PROCESSED FOOD AND ALCOHOL DRINKS. LIFE INDUSTRY AND MATERIAL DIVISION PROVIDES BUILDINGS, CONSTRUCTION MATERIALS, INSURANCE AND OTHERS. CORPORATE DIVISION PROVIDES CORPORATE OPERATION AND MANAGEMENT SERVICES. "
SHY,US4642874576,Ishares 1-3 Yr Trsy Bond,"EXCHANGE-TRADED FUND SEEKING PERFORMANCE CORRESPONDING TO THE BARCLAYS CAPITAL 1-3 YEAR TREASURY BOND INDEX. BLACKROCK FUND ADVISORS ACTS AS THE FUND'S INVESTMENT ADVISOR. AS OF 06/11, INVESTMENTS BY SECTOR IN %: U.S. TREASURY 99; AND SHORT-TERM SECURITIES/OTHERS 1. INVESTMENTS BY GRADE IN %: U.S. GOVERNMENT/AGENCY 99; AND NOT RATED 1. 2010-11 PORTFOLIO TURNOVER RATE WAS 85% VS 62% IN 2009-10."
UHS,US9139031002,Universal Health Svcs B,"OPERATES 23 ACUTE CARE HOSPITALS AND 197 BEHAVIORAL HEALTH CENTERS IN 37 STATES, WASHINGTON, D.C., PUERTO RICO AND U.S. VIRGIN ISLANDS. OPERATES 5 SURGERY AND RADIATION ONCOLOGY C ENTERS IN 4 STATES/PUERTO RICO. AS OF 12/12, AVERAGE NUMBER OF LICENSED BEDS STOOD AT 25,044. 2012 REVENUES BY PAYOR IN %: MANAGED CARE 49; MEDICARE 24; MEDICAID 15; OTHER 12. REVE NUES BY HOSPITAL TYPE IN %: ACUTE CARE/SURGICAL/RADIATION ON COLOGY 50; BEHAVIORAL CARE 50."
IOC.IN,INE242A01010,Indian Oil,"INDIAN OIL CORPORATION LIMITED IS AN OIL COMPANY. THE COMPANY'S PORTFOLIO OF BRANDS INCLUDES INDANE LPGAS, SERVO LUBRICANTS, PROPEL PETROCHEMICALS. THE COMPANY'S SEGMENTS INCLUDE SALE OF PETROLEUM PRODUCTS, SALE OF PETROCHEMICALS AND OTHER BUSINESSES, WHICH CONSIST OF SALE OF GAS, EXPLOSIVES AND CRYOGENICS, WIND MILL AND SOLAR POWER GENERATION AND OIL AND GAS EXPLORATION ACTIVITIES. THE COMPANY'S PRODUCT INCLUDE INDANE GAS, AUTO GAS, NATURAL GAS., PETROL/GASOLINE, DIESEL GAS OIL, ATF/JET FUEL, SERVO LUBRICANTS AND GREASES, MARINE FUELS AND LUBRICANTS, KEROSENE, BULK/INDUSTRIAL FUELS, BITUMEN, PETROCHEMICALS, SPECIAL PRODUCTS AND CRUDE OIL. THE COMPANY'S SUBSIDIARIES INCLUDE INDIAN OIL (MAURITIUS) LTD, IOC MIDDLE EAST FZE, IOC SWEDEN AB, IOCL(USA) INC., CHENNAI PETROLEUM CORPORATION LTD AND LANKA IOC PLC."
HPI.CN,CNE000001998,Huaneng Power Intl.'A',"HUANENG POWER INTERNATIONAL, INC. IS PRINCIPALLY ENGAGED IN THE INVESTMENT, CONSTRUCTION, OPERATION AND MANAGEMENT OF THERMAL POWER PLANTS. THE COMPANY'S ELECTRICITY GENERATION BUSINESS COVERS NORTHEAST CHINA GRID, NORTH CHINA GRID, NORTHWEST CHINA GRID, EAST CHINA GRID, CENTRAL CHINA GRID AND SOUTH CHINA GRID, AS WELL AS GRID IN SINGAPORE. THE COMPANY'S POWER PLANTS ARE MAINLY LOCATED IN SHANDONG PROVINCE, LIAONING PROVINCE, ZHEJIANG PROVINCE, GUANGDONG PROVINCE, JIANGSU PROVINCE, HEBEI PROVINCE, FUJIAN PROVINCE, JIANGXI PROVINCE, CHONGQING CITY, GANSU PROVINCE, BEIJING CITY AND SHANGHAI CITY, AMONG OTHERS. THE COMPANY ALSO PROVIDES HEATING POWER PRODUCTS."
PGC.IN,INE752E01010,Power Grid Corp.Of India,"POWER GRID CORPORATION OF INDIA LIMITED (POWERGRID) IS A HOLDING COMPANY, WHICH IS ENGAGED IN THE BUSINESS OF TRANSMISSION OF POWER. THE COMPANY'S SEGMENTS ARE TRANSMISSION, CONSULTANCY, TELECOM, REGIONAL LOAD DESPATCH CENTERS (RLDCS) AND UNIFIED LOAD DISPATCH CENTERS (ULDCS). POWERTEL IS THE COMPANY'S BRAND IN TELECOM BUSINESS. DURING THE FISCAL YEAR ENDED MARCH 31, 2012, THE COMPANY ADDED ABOUT 10,600 CIRCUIT KILOMETER OF EXTRA HIGH VOLTAGE (EHV) TRANSMISSION LINES, 15 EHV SUB-STATIONS AND TRANSFORMATION CAPACITY OF MORE THAN 30,000 MEGA VOLT AMPERES (MVA). AS OF MARCH 31, 2012, POWERGRID ESTABLISHED TRANSMISSION NETWORK OF 92,981 CIRCUIT K KILOMETERS OF EHV TRANSMISSION LINES, 150 NUMBERS OF EHV ALTERNATING CURRENT (AC) AND HIGH-VOLTAGE DIRECT CURRENT (HVDC) SUB-STATIONS, WITH A TOTAL TRANSFORMATION CAPACITY OF 1,24,525 MVA. EFFECTIVE SEPTEMBER 3, 2013, POWER GRID CORP OF INDIA LTD ACQUIRED THE"
IFC.CA,CA45823T1066,Intact Financial,"INTACT FINANCIAL CORPORATION IS A PROVIDER OF HOME, AUTO AND BUSINESS INSURANCE. IT INSURES MORE THAN FIVE MILLION INDIVIDUALS AND BUSINESSES THROUGH ITS INSURANCE SUBSIDIARIES, AND ARE PRIVATE SECTOR PROVIDER OF PROPERTY AND CASUALTY (P&C) INSURANCE IN BRITISH COLUMBIA, ALBERTA, ONTARIO, QUEBEC AND NOVA SCOTIA. IT DISTRIBUTES INSURANCE UNDER THE INTACT INSURANCE BRAND THROUGH A NETWORK OF BROKERS AND ITS WHOLLY OWNED SUBSIDIARY, BROKERLINK, WHILE NON-STANDARD AUTO INSURANCE IN ONTARIO IS DISTRIBUTED UNDER THE JEVCO BRAND. THE COMPANY MARKETS AND DISTRIBUTES ITS PRODUCTS AND SERVICES THROUGH THE COMPANIES: INTACT INSURANCE, BELAIRDIRECT, GREY POWER AND JEVCO. THE COMPANY'S SUBSIDIARIES INCLUDE INTACT INSURANCE COMPANY, BELAIR INSURANCE COMPANY INC., THE NORDIC INSURANCE COMPANY OF CANADA, NOVEX INSURANCE COMPANY, TRAFALGAR INSURANCE COMPANY OF CANADA, EQUISURE FINANCIAL NETWORK INC., GREY POWER IN"
GEO.CN,CNE100000BP1,Goertek 'A',"GOERTEK INC. IS A CHINA-BASED COMPANY PRINCIPALLY ENGAGED IN THE MANUFACTURE AND DISTRIBUTION OF ELECTRONIC COMPONENTS. THE COMPANY'S MAJOR PRODUCTS ARE ELECTRO-ACOUSTIC DEVICES AND COMPONENTS, INCLUDING MICRO ELECTRO-ACOUSTIC COMPONENTS AND CONSUMING ELECTRO-ACOUSTIC PRODUCTS, SUCH AS BLUETOOTH EARPHONES AND SPEAKERS. THE COMPANY ALSO PROVIDES ELECTRONIC ACCESSORIES, INCLUDING RELATED RAW MATERIALS, TOOLS AND MOLDS. THE COMPANY DISTRIBUTES ITS PRODUCTS WITHIN DOMESTIC MARKET AND TO OVERSEAS MARKETS. THE COMPANY MAINLY PROVIDES ITS PRODUCTS FOR MANUFACTURERS OF MOBILE PHONES, LAPTOPS AND TELEVISIONS."
WJR.JP,JP3659000008,West Japan Railway,"WEST JAPAN RAILWAY COMPANY IS MAINLY ENGAGED IN THE PROVISION OF PASSENGER RAILWAY TRANSPORTATION SERVICES. THE COMPANY OPERATES IN FOUR BUSINESS SEGMENTS. THE TRANSPORTATION SEGMENT PROVIDES FERRY AND BUS TRANSPORTATION SERVICES. THIS SEGMENT ALSO OFFERS RAILWAY SERVICES, SUCH AS SANYO SHINKANSEN AND CONVENTIONAL EXPRESS RAILWAY LINES THROUGHOUT THE HOKURIKU, CHUGOKU, KINKI AND NORTHERN KYUSHU AREAS. THE DISTRIBUTION SEGMENT IS ENGAGED IN THE OPERATION OF DEPARTMENT STORES IN OSAKA STATION BUILDING AND KYOTO STATION BUILDING. THIS SEGMENT IS ALSO INVOLVED IN THE RETAIL AND RESTAURANT BUSINESSES IN MAJOR STATIONS. THE REAL ESTATE SEGMENT IS ENGAGED IN THE SALE AND LEASING OF REAL ESTATE PROPERTIES IT OWNS, AS WELL AS THE OPERATION OF SHOPPING CENTERS. THE OTHERS SEGMENT IS ENGAGED IN THE HOTEL, TRAVEL, AUTOMOBILE RENTAL, ADVERTISING, ELECTRIC CONSTRUCTION, INFORMATION SERVICE AND OTHER BUSINESSES."
EF@N.JP,JP3469000008,Mitsubishi Tanabe Pharma,"MITSUBISHI TANABE PHARMA CORPORATION IS A JAPAN-BASED COMPANY MAINLY ENGAGED IN THE MANUFACTURE AND SALE OF PHARMACEUTICAL PRODUCTS. THE COMPANY OPERATES IN TWO BUSINESS SEGMENTS. THE MEDICAL SUPPLIES SEGMENT IS ENGAGED IN THE RESEARCH, DEVELOPMENT, MANUFACTURE AND SALE OF ETHICAL PHARMACEUTICAL AND NON-PRESCRIPTION DRUGS. THE OTHERS SEGMENT IS ENGAGED IN THE MANUFACTURE, PURCHASE AND SALE OF CHEMICAL PRODUCTS, AS WELL AS THE MANAGEMENT OF REAL ESTATE. ON SEPTEMBER 18, 2013, TOGETHER WITH PHILIP MORRIS INVESTMENTS B.V., THE COMPANY ACQUIRED ALL SHARES OF CANADA-BASED PHARMACEUTICAL COMPANY MEDICAGO INC., AND THEN MADE IT BECOME A 60%-OWNED CONSOLIDATED SUBSIDIARY."
JR@N.JP,JP3574200006,Tokyu,"TOKYU CORPORATION IS PRIMARILY ENGAGED IN THE REAL ESTATE AND RAILWAY BUSINESSES. THE TRANSPORTATION SEGMENT INVOLVES IN THE OPERATION OF RAILWAYS AND PROVISION OF BUS TRANSPORTATION SERVICES. THE REAL ESTATE SEGMENT INVOLVES IN THE CONSTRUCTION AND SALE OF HOUSING; THE PROVISION OF REAL ESTATE CONSULTING SERVICES AND BUILDING AND CONDOMINIUM MANAGEMENT SERVICES, AS WELL AS THE LEASING AND BROKERAGE OF REAL ESTATE. THE RETAIL SEGMENT OPERATES DEPARTMENT STORES, CHAIN STORES AND SHOPPING CENTERS. THE LEISURE SERVICE SEGMENT IN ENGAGED IN THE OPERATION OF GOLF COURSES, THE PROVISION OF CABLE TELEVISION AND INTERNET ACCESS SERVICES, AS WELL AS VARIOUS ADVERTISING AGENCY BUSINESSES. THE HOTEL SEGMENT OPERATES HOTELS. THE OTHERS SEGMENT INVOLVES IN THE CONSTRUCTION OF HOUSING, OFFICE BUILDINGS, ROADS AND RAILWAYS, AMONG OTHERS."
SILC.HK,HK0083000502,Sino Land,"SINO LAND COMPANY LIMITED IS A HONG KONG-BASED INVESTMENT HOLDING COMPANY. THE COMPANY IS ORGANIZED INTO FIVE OPERATING DIVISIONS: PROPERTY, PROPERTY MANAGEMENT AND OTHER SERVICES, HOTEL OPERATIONS, INVESTMENTS IN SECURITIES AND FINANCING. ITS ULTIMATE HOLDING COMPANY IS TSIM SHA TSUI PROPERTIES LIMITED. THE COMPANY'S SUBSIDIARIES INCLUDE BEST RESULT ENVIRONMENTAL SERVICES LIMITED, FU KING INVESTMENT LIMITED, GLORYPARK LIMITED, HONG KONG ELITE LIMITED, KING CHANCE DEVELOPMENT LIMITED, SERENITY PARK BUILDING MANAGEMENT LIMITED, SHARP RISE COMPANY LIMITED, SINO ADMINISTRATION SERVICES LIMITED, SINO ESTATES MANAGEMENT LIMITED, SINO ESTATES SERVICES LIMITED, SINO SECURITY SERVICES LIMITED, WORLD ACE LIMITED AND OTHERS."
SAL.SA,SA0007879782,Banque Saudi Fransi,"BANQUE SAUDI FRANSI IS A SAUDI ARABIA-BASED BANK ENGAGED IN THE PROVISION OF COMMERCIAL BANKING, INVESTMENT AND FINANCIAL SOLUTIONS. THE BANK OPERATES THROUGH FOUR BUSINESS SEGMENTS: THE RETAIL BANKING SEGMENT OFFERS DEMAND ACCOUNTS, OVERDRAFTS, LOANS, SAVING ACCOUNTS, DEPOSITS, CREDIT AND DEBIT CARDS, CONSUMER LOANS, AND FOREX PRODUCTS FOR PRIVATE AND SMALL ESTABLISHMENT CUSTOMERS; THE CORPORATE BANKING SEGMENT PROVIDES DEMAND ACCOUNTS, DEPOSITS, OVERDRAFTS, LOANS AND OTHER CREDIT FACILITIES AND DERIVATIVE PRODUCTS FOR CORPORATE AND MEDIUM ESTABLISHMENT CUSTOMERS; THE TREASURY SEGMENT PROVIDES TREASURY SERVICES, TRADING ACTIVITIES, INVESTMENT SECURITIES, MONEY MARKET, AND THE BANK'S FUNDING OPERATIONS, AND THE INVESTMENT BANKING AND BROKERAGE SEGMENT OFFERS INVESTMENT MANAGEMENT SERVICES AND ASSET MANAGEMENT ACTIVITIES RELATED TO DEALING, MANAGING, ARRANGING, ADVISING AND CUSTODY OF SECURITIES AN"
MAC,US5543821012,Macerich Co,"REIT THAT ACQUIRES, OWNS AND DEVELOPS REGIONAL AND COMMUNITY SHOPPING CENTERS ACROSS THE U.S. PORTFOLIO CONSISTS OF 61 R EGIONAL AND 9 COMMUNITY SHOPPING CENTERS AGGREGATING 63 MIL SQ FT OF GROSS LEASABLE AREA. 2012 REVENUES BY SEGMENT IN %: RENTS 59; TENANT RECOVERIES 31; AND OTHER 10. BIG BOX AND AN CHOR TENANTS ACCOUNTED FOR 23% OF TOTAL RENTS. AS OF 12/12, TOTAL ASSETS STOOD AT $9.3 BIL, UP 17% FROM 12/11."
EIT.AE,AEE000701012,Emirate Integ.Telecom.,"EMIRATES INTEGRATED TELECOMMUNICATIONS COMPANY PJSC IS A UNITED ARAB EMIRATES-BASED COMPANY ENGAGED IN THE TELECOMMUNICATION SECTOR. THE COMPANY IS ORGANIZED INTO FOUR BUSINESS SEGMENTS: THE MOBILE SEGMENT OFFERS MOBILITY SERVICES INCLUDE MOBILE VOICE AND DATA, MOBILE CONTENT AND MOBILE BROADBAND WIRELESS FIDELITY (WIFI) TO THE ENTERPRISE AND CONSUMER MARKETS; THE FIXED SEGMENT PROVIDES WIRE LINE SERVICES INCLUDE BROADBAND, INTERNET PROTOCOL TELEVISION (IPTV), INTERNET PROTOCOL/VIRTUAL PATH NUMBER (IP/VPN) BUSINESS INTERNET AND TELEPHONY SERVICES TO THE ENTERPRISE AND CONSUMER MARKETS; THE WHOLESALE SEGMENT PROVIDES VOICE AND DATA SERVICES INCLUDE TERMINATION OF INBOUND INTERNATIONAL VOICE TRAFFIC, INTERNATIONAL ROAMING AGREEMENTS AND POINT-TO-POINT LEASED LINE CONNECTIVITY TO NATIONAL AND INTERNATIONAL CARRIERS AND OPERATORS, AND THE BROADCASTING SEGMENT DELIVERS INTEGRATED SATELLITE AND BROADCAS"
CINF,US1720621010,Cincinnati Financial,OFFERS COMMERCIAL AND PERSONAL LINES OF INSURANCE INCLUDING COMMERCIAL CASUALTY AND COMMERCIAL PROPERTY. 2012 REVENUES B Y SEGMENT IN %: COMMERCIAL 58; PERSONAL 21; INVESTMENT OPERA TIONS 14; LIFE 4; AND OTHER 3. COMMERCIAL INSURANCE BY SEGMENT IN %: CASUALTY 32; PROPERTY 23; AUTO 18; WORKERS' COMPEN SATION 15; SPECIALTY 6; AND OTHER 6. COMMERCIAL LINES BY EAR NED PREMIUMS IN %: OH 15; IL 8; PA 7; AND OTHERS 70. COMBINE D RATIO: 96% VS 109% IN 2011.
CCL.AU,AU000000CCL2,Coca-Cola Amatil,"COCA-COLA AMATIL LIMITED (CCA) WITH ITS SUBSIDIARIES IS ENGAGED IN THE MANUFACTURE, DISTRIBUTION AND MARKETING OF CARBONATED SOFT DRINKS, STILL AND MINERAL WATERS, FRUIT JUICES, COFFEE AND OTHER ALCOHOL-FREE BEVERAGES. CCA OPERATES IN FOUR BUSINESS SEGMENTS: THE AUSTRALIA, NEW ZEALAND AND FIJI, AND INDONESIA AND PNG SEGMENTS. CCA IS ALSO ENGAGED IN THE PROCESSING AND MARKETING OF FRUITS, VEGETABLES AND OTHER FOOD PRODUCTS, AND THE MANUFACTURE AND DISTRIBUTION OF ALCOHOL READY-TO-DRINK PRODUCTS, AND THE DISTRIBUTION OF PREMIUM SPIRITS AND BEER BRANDS. THE COMPANY'S PRINCIPAL OPERATIONS ARE IN AUSTRALIA, NEW ZEALAND, FIJI, INDONESIA AND PAPUA NEW GUINEA (PNG). ON JANUARY 13, 2012, THE SALE OF CCA'S 50% INTEREST IN PACIFIC BEVERAGES TO SABMILLER WAS COMPLETED. ON FEBRUARY 21, 2011, THE COMPANY ACQUIRED VENDING BUSINESS, A NON-ALCOHOL BEVERAGE IN AUSTRALIA. ON SEPTEMBER 7, 2012, CCA ACQUIRED AN 89.6% "
N,US64118Q1076,Netsuite Inc,"PROVIDES ON-DEMAND CUSTOMER RELATIONSHIP MANAGEMENT AND ENTE RPRISE RESOURCE PLANNING SOFTWARE, AND E-COMMERCE SERVICES T O SMALL AND MEDIUM-SIZED BUSINESSES. SOFTWARE ALLOWS CUSTOME RS TO MANAGE BACK-OFFICE, FRONT-OFFICE AND WEB OPERATIONS. - 2012 REVENUES BY SEGMENT IN %: SUBSCRIPTION AND SUPPORT 82; AND PROFESSIONAL SERVICES AND OTHER 18. REVENUES BY AREA IN %: U.S. 74; AND INTERNATIONAL 26."
